,attackhlc
92661,1
65252,0
39497,1
11381,0
124754,1
30170,1
51748,1
56167,3
36693,0
61476,0
75372,0
62531,1
121229,0
94511,0
5050,1
76384,1
80315,0
90835,0
8863,3
23354,0
79493,1
14993,0
49406,1
81833,0
97865,1
103856,1
90133,3
118729,0
123814,1
43356,0
104970,1
38937,3
70494,0
87072,1
109193,1
10118,1
90095,1
22503,1
82843,0
43834,0
62853,1
67262,1
9750,0
112040,0
23786,3
23427,1
6299,0
117949,1
99799,0
75615,1
4483,1
65783,1
41918,1
17361,0
104838,1
50990,0
6242,0
77781,1
45997,0
80886,0
3158,1
2105,0
21451,0
17319,1
26944,0
51899,3
35102,3
61026,0
114392,0
119255,0
99846,0
3322,0
38675,1
105482,0
69151,1
24484,0
27411,1
805,0
70173,0
110878,0
22009,0
111350,0
73754,3
78902,1
82782,0
118686,1
70081,1
26605,0
34357,1
89165,0
36179,1
62633,1
91606,0
57730,0
55379,1
15180,1
116001,1
116407,0
22449,0
87357,0
71801,3
37106,0
82920,0
77073,0
39630,0
2499,1
107594,0
33568,0
18426,0
59043,0
12044,1
13544,0
36334,1
63921,0
22667,1
103645,0
71522,0
123076,1
102124,0
111395,0
8270,0
107818,0
71053,0
24980,0
82633,0
52903,1
25583,1
73782,1
69966,0
10546,0
51146,0
8875,1
118101,0
19288,1
23979,1
123977,1
41332,0
118723,0
40646,0
62015,1
70063,1
7188,0
14623,0
113694,1
107490,1
13262,0
55459,1
97964,1
66217,0
45682,0
35218,3
91613,0
78426,3
109408,1
109975,0
9155,0
59981,1
61859,1
109488,0
59752,3
109799,0
98161,0
24567,1
52855,1
82134,3
19183,0
79608,1
101730,0
6398,0
121102,0
68449,0
103655,0
8429,1
115958,0
4544,0
95857,1
42559,0
88112,1
65923,3
73704,1
37966,1
32629,0
91121,0
20096,3
81286,0
10644,0
99472,1
85432,0
98726,1
26522,1
118629,0
86811,0
114139,0
77770,1
53384,0
64890,0
102706,1
82023,0
99376,1
119734,0
114654,0
100475,1
105730,0
56476,1
116360,0
29885,0
78645,1
46225,1
115844,1
35752,0
2748,0
54039,0
60339,1
30624,3
15489,0
46712,1
8774,0
59231,0
83645,0
35480,0
93345,1
41204,1
117074,1
59950,0
49530,1
31366,1
45151,0
75982,1
104162,0
69623,0
37867,0
90984,3
16750,0
111479,0
94003,1
13189,0
106419,0
8453,0
41300,0
87216,1
55049,1
74627,0
46032,0
90918,1
55634,1
74175,1
54139,1
6431,0
125483,3
90718,0
84683,0
110265,3
10658,3
78386,0
20008,1
103969,1
87956,0
59996,0
5644,1
44071,0
90008,0
40593,0
90050,0
86563,0
54108,1
125439,1
15971,1
85119,1
6881,0
8342,0
23059,0
39416,0
9710,1
123158,0
42332,0
41426,1
103139,0
121673,1
77570,0
103987,0
67479,3
116261,1
29246,1
48961,0
130,1
38046,1
107565,0
85534,1
58645,0
105047,0
1614,0
12655,0
56459,3
49076,1
88645,0
21439,0
2866,0
104894,1
94489,0
6911,0
115001,0
95696,1
114565,2
88046,0
13147,1
99976,0
52386,0
47155,3
123182,1
114710,1
107364,1
27760,0
97358,1
124128,0
104956,3
23281,1
71918,3
49841,0
109355,0
39708,0
85362,0
63154,0
56352,0
14095,0
59265,0
47445,0
81189,0
89982,1
61838,0
103993,0
93513,0
5607,0
85726,1
49520,0
14515,0
42914,1
96098,3
53612,0
46517,0
23186,1
24451,0
48977,0
101655,0
12204,0
31111,0
87611,1
121484,0
28664,1
67677,0
80018,0
125849,0
52576,0
65591,1
45138,0
98511,0
4724,1
97212,0
125515,0
63464,0
19709,3
69360,0
38066,0
63655,1
102189,0
48037,0
33013,0
50656,1
9012,1
12536,1
91091,0
34230,1
13996,2
70850,0
109442,0
30564,0
87657,0
83676,1
91834,3
17365,0
78591,0
125669,0
19206,1
108747,1
93179,0
67564,1
121548,1
70720,1
22333,0
62443,3
22485,0
6035,0
95641,0
82890,3
75651,1
26988,0
67732,1
70142,1
18514,0
73573,0
58651,0
16182,0
114014,1
95915,0
116504,1
107396,0
51295,2
84072,0
27638,0
50804,1
32346,0
39474,1
76129,0
109391,0
66235,0
110737,0
50030,0
91451,1
14537,0
78936,1
96335,0
7748,1
117198,0
16933,0
109711,0
90037,1
6533,0
62206,0
110786,1
48055,1
121283,1
93546,0
29768,0
60326,1
45819,1
98487,3
12769,1
102267,0
71297,0
97103,0
34351,0
33381,1
97690,2
35345,0
3202,1
95904,1
17461,0
49893,0
52767,1
115324,1
20398,0
103523,0
57121,0
106096,0
31086,0
113171,0
38333,3
44840,0
115512,1
24975,3
50586,0
122878,3
98916,1
117668,1
93679,1
1159,1
97974,1
21939,1
22524,0
57661,0
27328,3
45845,1
7355,1
100897,0
89263,0
38424,1
117812,1
18721,0
52668,0
53910,0
106459,1
94377,1
40156,0
5379,0
103293,0
13179,1
119542,0
89871,0
38384,0
67618,0
33708,1
54865,0
124050,0
41402,1
53361,0
45915,1
3647,1
78890,3
83146,1
75245,0
77280,0
45815,3
98548,0
53072,1
72671,0
21911,0
24437,1
10559,1
51125,0
99758,0
8385,3
94479,0
18553,0
30847,1
43134,0
46486,0
58931,1
92496,0
19637,0
5981,3
57058,0
32278,0
66626,0
110190,1
94748,0
31599,0
104449,1
73376,0
69200,1
24886,0
92916,1
64896,0
69690,0
103726,0
9423,0
68499,0
54836,0
73366,0
38841,1
33445,1
56732,1
57052,3
83352,0
122138,0
95469,1
86810,0
77074,0
44293,0
24590,0
55940,1
16734,0
62609,0
120667,1
112067,0
53139,1
112312,3
18496,3
49438,1
13510,0
39230,1
4906,0
85087,0
47255,3
90693,0
57586,1
104861,1
9565,1
89067,0
10374,0
26263,0
70269,1
111413,0
52896,0
83827,0
64351,0
35034,1
4705,0
51931,1
68104,0
95151,0
50546,0
114894,2
34553,0
95567,3
58013,0
14846,0
34880,0
38197,1
14626,0
67589,1
23474,1
25024,1
48594,0
108832,0
109662,0
119893,1
57020,0
111255,0
67027,0
15268,1
92898,0
123426,2
75856,0
3572,1
38901,0
115166,0
42173,1
92191,1
69367,0
20922,3
49242,0
61155,0
103744,0
87460,1
27866,3
106470,1
72303,0
83832,0
24117,0
91463,0
34476,1
120546,1
14717,0
4121,3
21689,1
1396,1
121134,1
27659,0
92637,0
88896,3
29045,1
444,0
94190,0
85892,0
52240,0
109079,0
9474,0
5716,0
95240,0
105928,1
29353,1
101140,1
13875,0
36230,1
86233,0
99982,0
102846,0
37241,0
59656,0
2552,1
94910,0
74147,1
99431,0
21980,3
13427,0
94204,0
42158,0
54489,0
123976,0
94038,1
1694,1
17892,0
15758,0
115597,0
581,2
48534,0
28317,0
72500,0
115647,1
8535,1
30232,1
107502,1
4400,3
46591,1
49153,3
71448,0
39119,0
98064,3
76114,0
81071,1
80331,1
29594,0
43619,3
81477,0
109104,0
93776,0
125382,1
111705,0
117036,0
123792,0
69684,1
46996,0
98629,0
125503,0
5959,0
35233,0
41444,0
121550,3
58481,1
67475,3
125066,0
120924,0
39673,1
15465,1
120405,0
68469,3
80157,0
96739,0
70230,0
119018,0
101783,1
120323,0
11990,0
39333,0
45384,3
108457,0
124291,0
64605,0
31765,1
88675,0
26588,0
401,1
85006,0
26566,0
93256,0
104820,0
7436,0
109673,1
65603,0
20132,0
72938,0
26301,0
24701,0
13218,3
27584,0
58504,0
98458,0
113186,0
64702,0
94757,1
55358,3
48633,1
102581,0
91643,0
42626,1
55689,1
33186,0
36637,0
71882,0
65599,0
43928,0
9570,0
53673,1
101225,3
9047,0
87954,1
24469,1
103775,3
92889,1
114825,1
21168,0
50024,0
76677,0
42358,0
16931,0
26737,0
37830,0
30674,0
13743,1
93624,0
90003,0
86970,0
47917,3
72450,1
76993,1
35528,1
83383,0
91001,0
77825,0
123575,0
122755,1
11246,0
108194,0
122888,0
120303,0
48889,0
124933,1
32454,0
2927,0
14053,1
26156,0
105823,3
84720,0
44064,1
45884,1
81528,3
107226,0
43390,0
101186,0
11193,1
96371,0
29928,0
85447,0
125429,3
111046,0
53726,1
115902,1
109435,0
97075,1
29024,1
94784,0
30668,0
118597,1
119301,1
47183,0
30698,0
46405,0
75671,1
24570,0
72444,1
8121,0
47559,1
81714,1
51781,0
28033,1
121992,1
62082,1
84507,0
30190,0
49329,3
1094,1
79872,0
46503,0
89425,3
114822,3
95213,3
84907,0
27733,0
33321,3
62196,0
110067,0
14803,0
67223,1
37180,0
11301,0
96406,3
31975,3
95032,1
29695,1
30185,0
78458,0
54826,0
40873,0
59972,1
116839,1
35622,3
52843,3
48362,3
101836,3
30941,1
53050,0
41036,1
94234,0
27730,0
102119,0
100470,0
48385,1
18255,0
84110,0
20644,0
94698,0
53821,1
52455,0
66662,1
67228,1
33088,0
98864,3
97625,1
112252,0
114381,0
111941,0
98910,1
51260,0
26577,0
110037,1
103141,0
99836,0
32398,0
5378,0
90749,0
122220,2
26567,0
36740,1
26907,0
28352,1
88203,1
41949,1
38402,0
25829,0
3320,1
70996,0
56701,1
40649,0
90533,1
32565,0
4732,0
3724,1
36798,1
25712,0
115057,1
21557,0
72107,0
50964,1
9501,1
93119,1
101991,0
77361,0
106242,0
92059,0
12142,0
80752,1
117770,0
53655,1
104439,1
83015,1
93740,0
22526,1
105890,0
39509,0
125728,1
82394,1
3901,0
57196,0
95459,0
10764,0
48952,0
115013,1
100331,0
28243,1
71247,0
8007,1
34847,0
86557,0
80562,0
63477,0
64056,3
27244,3
72024,0
27318,0
77666,0
40983,1
84273,0
109227,1
53703,0
79225,0
38627,1
10506,1
34116,0
38737,1
97980,1
117093,0
84086,0
9506,0
101232,0
31742,1
46118,0
100771,0
27460,1
72391,0
85136,1
89683,0
39065,3
49771,3
16421,1
107889,3
107257,0
58166,0
107388,0
46269,1
57795,1
100973,0
84630,1
15448,0
95779,0
70649,0
32903,0
117797,0
38308,1
103853,1
79417,3
6936,0
111780,3
87980,0
104106,0
21026,0
82933,0
57238,0
9242,0
78419,0
92794,0
82006,0
88657,1
71595,0
113311,1
102833,0
71912,0
26991,0
49231,0
79096,1
41943,0
54788,0
44654,1
31685,1
77602,3
26744,0
51145,3
85239,3
4281,1
9714,0
98984,0
102298,0
122585,1
55377,1
74504,0
80431,0
10601,0
32157,3
86479,0
18159,1
14920,2
15435,3
101147,0
10179,0
71617,0
16764,1
120584,1
6874,0
37901,1
25687,0
58236,0
40894,0
48702,0
21150,0
64159,3
46571,0
75680,2
114663,0
19367,3
83763,3
94438,0
49534,0
117506,3
4472,1
83454,0
232,0
43213,1
121028,1
99823,3
59704,0
64757,1
34106,0
84349,0
111504,1
47277,1
59563,3
75804,1
54,0
44430,1
30091,0
67331,0
62174,1
42447,3
7488,0
35688,0
36973,0
107178,1
95888,3
64022,0
124302,1
100631,0
12242,0
63784,0
79693,3
96110,0
89983,0
69972,0
44063,1
104668,3
8814,0
8605,0
53797,0
110736,0
82829,0
5404,0
29412,1
116069,3
85475,0
29019,1
36972,0
93023,0
19035,3
113656,0
41525,0
58992,0
55730,0
9898,1
75703,0
21335,0
59864,0
111680,0
7815,0
27339,1
113579,0
18488,0
104441,0
13780,0
103508,0
87103,3
94883,1
68522,0
72929,3
92666,0
75025,0
82290,0
28027,0
109562,1
108865,3
115507,0
35717,0
44928,1
123907,3
79606,1
3269,2
32127,0
17643,0
77861,1
58884,0
110058,1
114544,0
53422,0
99113,0
117069,0
87864,0
53419,0
125043,1
94668,1
39954,1
10750,1
94236,0
29388,1
4999,0
119914,0
53808,0
24827,0
1010,1
110716,0
27902,0
102863,1
53194,1
13648,1
18537,1
21742,1
6311,0
63835,0
79160,1
11191,1
92042,1
21596,1
38221,0
68944,1
27990,1
88469,1
46825,0
834,1
104531,1
45868,0
78635,1
2714,0
73906,3
99720,1
50959,2
106623,1
120549,1
110781,1
55530,3
14006,3
13553,1
84437,3
34729,0
47220,0
3298,0
97805,3
9154,0
103055,1
38173,3
119750,1
88452,0
118903,0
34222,0
99561,2
112494,1
31338,0
100561,0
95745,0
58200,0
114429,0
109491,1
1938,1
4576,0
47130,1
116747,3
3719,0
95512,0
110093,1
119000,1
9785,1
99537,0
63953,0
92760,0
3088,0
108912,0
96540,0
117168,0
101986,3
95350,0
62026,3
29136,0
73889,0
114675,0
87738,0
103440,1
70554,0
103944,0
17197,1
9280,0
60939,0
122316,0
27000,0
2045,1
17409,1
58819,0
26695,1
15141,2
71178,0
18481,0
20218,0
92140,0
124613,0
10956,3
105200,0
110164,1
124904,0
617,0
43729,0
59936,1
87809,0
113358,1
61192,1
100302,1
1679,0
101334,0
34651,0
48527,1
113733,3
86486,0
18167,3
35139,0
81280,1
45575,1
68719,0
71946,0
10428,1
49884,1
38750,0
97983,0
84180,3
122234,0
125216,3
51246,0
76416,0
116790,0
106695,0
117271,0
14114,1
75847,0
52331,0
6291,0
5678,1
111911,1
101479,0
31455,1
92650,0
64995,1
121358,1
33160,1
65093,1
102255,0
8716,0
62080,0
46023,0
87466,1
45821,0
26728,0
36066,1
118106,1
48843,0
78315,1
85547,1
36808,1
61949,1
115922,1
107923,1
46589,1
76681,1
112666,1
38571,1
15111,0
52186,0
119215,0
5359,0
31687,1
91490,3
9989,0
66031,1
56392,1
50213,0
108869,1
31155,0
70497,1
72162,1
57835,1
17384,0
74527,1
24154,1
87901,0
27521,1
123815,0
85258,1
5001,0
31479,1
43087,0
119380,1
28364,0
86967,1
11690,0
117600,0
81499,0
48641,1
84943,1
46703,0
28576,0
34395,1
97347,0
95675,3
82378,0
51578,0
53603,0
119811,0
118983,1
80402,1
87246,1
71384,1
53239,1
97917,0
120166,0
116033,1
9778,0
59604,0
60237,1
686,0
97276,0
82847,1
117230,1
34874,1
83968,1
64320,0
79530,1
102860,0
105533,0
115184,0
115025,1
2644,0
5907,1
8255,0
57109,3
86122,1
40687,0
53973,0
73447,0
26844,0
84398,0
5116,3
82482,1
73678,1
99285,1
62623,0
75688,0
122954,0
10937,1
86154,0
87391,0
16695,1
13492,1
102064,0
114600,1
78293,0
95564,1
77242,3
94657,0
44287,0
88210,1
90698,0
36721,1
86349,0
72751,1
41988,0
6333,1
29364,1
104096,0
18290,3
106554,3
36617,0
38441,0
77559,0
99555,2
13782,1
74978,0
121870,1
62519,0
119609,3
47885,0
48006,1
115319,3
51769,1
95073,1
111101,0
45278,1
79765,1
3884,0
68953,0
53600,1
109667,0
82441,0
53945,0
16720,0
86591,1
123303,1
27755,0
79015,0
36422,0
84366,0
73921,3
58218,0
14808,0
40758,0
65050,0
71361,0
121235,0
33885,0
41095,0
27577,0
21642,0
108508,3
99550,0
102113,0
54607,0
49692,1
81512,1
17836,1
64725,1
69154,1
61776,1
23849,0
94282,1
95058,0
73169,1
5396,1
93960,0
68112,1
99014,1
79651,1
19219,1
86726,1
38076,1
93093,0
117480,1
114424,1
88076,3
102646,0
21837,1
4432,0
2617,0
26582,0
68435,1
12584,1
111346,1
93374,1
12909,1
90586,1
72809,0
94671,0
20730,1
122372,1
3119,1
56935,0
101957,0
16136,0
82862,0
93086,0
48560,1
112703,3
52819,1
61276,0
29290,1
22201,1
476,0
101817,1
46564,1
65928,0
39947,3
74535,1
42947,0
47027,1
68453,2
80282,0
62054,1
5814,0
46548,3
116630,0
96668,0
98965,1
70059,1
30229,1
25271,0
69049,0
667,1
72404,1
39436,0
26697,0
59912,0
111235,1
16844,0
3617,1
36152,1
36776,1
96495,0
15384,0
10516,1
77134,0
115894,0
66330,0
7284,1
31607,3
52808,3
72281,0
3243,1
4907,0
109901,0
91658,1
70946,1
42919,0
99192,1
6447,1
100610,0
40370,1
20274,0
89621,1
113610,0
22578,1
6793,0
120180,3
22829,1
118826,3
34805,1
49851,0
5521,3
54901,0
11796,0
30495,1
27045,0
76272,0
105923,1
97064,1
53752,0
30943,1
27300,0
117979,0
41136,1
51612,0
96450,0
23671,0
34482,0
106319,0
60112,0
8743,0
62790,1
2992,0
41686,0
28975,0
77155,0
33685,1
1417,0
29071,1
120890,1
33211,0
22994,1
8966,1
60673,0
115017,1
25086,3
108516,0
31225,1
88961,1
84211,0
27385,0
34221,1
74691,0
108284,0
72741,1
8686,0
33734,0
32584,1
88025,1
86835,1
23722,1
68493,1
79340,0
55493,1
95625,0
66740,0
36555,3
77427,1
118688,0
84982,0
87769,1
76170,0
47596,0
123963,3
49910,0
27426,1
114047,1
78367,0
57656,0
81721,0
18430,0
116964,1
113344,3
34892,0
59130,1
103767,0
84558,0
33440,0
35792,1
23689,0
48576,0
8538,0
19849,3
37351,1
49008,0
6166,0
105402,1
45924,0
43843,0
884,3
21342,1
4194,0
7206,0
45390,0
98449,0
117225,0
121609,1
76241,0
69007,0
10291,1
84075,0
74233,0
84100,0
78035,3
92550,1
11008,1
75734,0
102297,1
95031,3
93908,1
13756,0
24778,0
65723,1
18071,0
28277,1
10528,1
78537,0
58803,0
121505,0
81112,1
58164,0
90679,0
67362,1
123894,1
118235,0
58344,0
45897,0
37203,0
16367,0
15334,1
92779,0
39451,0
85810,0
101037,0
123666,1
104256,1
45547,1
94569,0
98849,0
95069,0
75552,0
72342,3
66221,1
115327,0
66206,0
75641,1
25042,0
66492,1
54356,0
61916,1
52405,1
79803,3
113852,1
108464,0
31375,0
73827,1
37875,0
85354,1
56769,0
93916,1
39879,0
57034,0
26061,0
58704,0
97019,1
121379,1
42585,1
10216,2
60100,0
31918,0
15038,0
47747,3
17993,0
52275,0
91814,0
120313,1
74083,3
9302,0
9524,1
96690,0
7049,1
107007,0
58368,0
88951,1
95830,1
45473,0
77037,0
49419,1
122656,0
104062,3
85035,1
110518,1
39308,1
18779,0
95638,0
82154,1
115402,1
124598,1
116693,0
5632,0
53114,0
78968,0
87339,0
19597,0
112314,1
63315,0
95487,0
100766,0
58173,1
89681,1
76208,0
33881,0
107360,0
66709,0
12510,0
116295,0
18176,1
94916,1
66115,0
109556,3
27925,1
27249,3
26960,1
24242,0
88885,0
29094,1
67562,0
12729,0
94498,0
56559,1
15895,1
77418,0
49820,0
79871,0
86872,0
10620,0
76066,1
117279,0
105999,1
105833,1
118253,0
59517,0
75309,1
77889,0
121232,0
89251,1
96941,1
82832,0
25446,0
35301,0
2208,0
121792,0
90017,1
55185,1
54685,1
51039,1
93525,1
67785,1
44565,1
29085,0
112653,3
12828,0
96707,1
78290,0
92138,1
6392,1
7974,0
81729,1
49259,1
21481,0
103111,1
93881,0
77870,0
96407,1
75160,1
96251,0
98104,0
44459,0
101543,0
22714,3
80824,1
87218,1
47721,1
60661,0
121292,1
63392,0
44289,3
49972,0
17282,1
1456,0
31082,0
118995,1
8921,0
40088,1
61709,1
92279,0
116945,0
83956,1
60909,3
81979,1
68762,0
18077,0
96263,0
19714,1
66754,0
116906,1
51182,1
123317,0
21348,0
46078,1
6769,1
67697,0
39772,0
56149,0
83016,1
88467,3
38742,0
84310,0
125129,0
85271,1
118308,1
66836,0
32274,0
8355,3
10617,1
39036,3
21601,0
40880,3
118406,0
39616,1
94515,0
2091,1
31169,0
112430,0
49040,0
39693,3
45459,1
73524,1
13129,0
35739,0
92083,1
69277,0
45073,0
82447,0
37590,0
24219,0
51270,3
66145,0
90970,0
70131,1
67693,0
113671,0
3274,0
77023,3
30615,0
120244,1
59977,1
98561,3
57180,3
5592,0
4501,0
99131,0
97474,3
118104,1
58423,1
63450,1
37746,0
21209,1
73294,0
107206,1
371,0
111739,0
65908,1
43939,0
82734,0
99701,1
102075,0
3662,0
88107,0
116077,1
117935,1
50794,1
25530,1
116880,3
8405,0
40318,1
104828,0
9490,0
43302,3
35575,0
89694,0
87603,0
19227,0
34702,0
81391,0
61750,0
23162,1
102760,3
97466,1
25149,0
32265,0
58203,1
83569,1
83385,1
97565,3
103270,1
6764,1
71949,3
119868,0
121859,0
19755,0
37500,1
61200,1
105351,0
82385,1
116205,1
100584,1
60919,0
78499,1
45657,0
24317,1
59109,0
111560,0
80376,1
125365,1
35868,1
70482,0
55662,0
48100,1
120719,1
3682,1
71119,1
107652,0
118970,1
111496,1
103311,1
22697,3
23220,0
53398,0
92826,1
33642,1
29040,1
59575,3
124348,0
83305,0
114865,1
58954,0
77384,1
52850,1
17293,1
78880,1
11944,0
14633,1
10545,3
89721,0
48881,1
57636,0
104147,0
39997,3
9311,1
83789,1
13183,0
19608,2
8997,0
112891,0
118527,3
10866,0
13188,0
118609,1
23432,0
22034,1
5164,0
90347,2
82319,1
84836,3
47290,1
115921,1
69628,1
98219,0
8580,0
5346,3
24513,3
45134,1
86280,3
46215,0
18859,0
75331,1
79755,1
96844,1
20839,0
7831,0
2997,3
48369,1
9475,0
82745,0
36156,0
15379,0
73275,0
99541,1
44426,1
54117,1
111391,1
29700,3
101084,3
115152,0
3221,1
58026,0
49367,1
29492,0
102323,0
23006,2
58153,1
2579,3
39501,0
87137,1
86134,0
63857,0
29111,0
21608,0
87399,3
56605,1
13325,0
113465,0
78687,1
65221,0
15328,1
38405,0
80665,0
76908,1
111711,0
2897,0
22159,0
52038,1
8443,0
77794,1
13888,0
33068,0
29079,0
83067,0
101205,1
119145,1
33355,1
69127,1
67786,1
52604,0
117405,1
42277,0
70285,1
36501,1
7504,1
33264,1
30599,1
81030,0
111923,0
59840,0
76421,0
107697,0
66497,1
42533,0
96674,1
91371,1
125329,3
99613,0
115465,0
124512,1
82574,0
80787,0
119131,0
19965,1
59122,0
118169,1
9173,3
73515,0
23730,0
42378,1
100417,2
63082,0
98476,0
12669,0
47295,3
44212,1
121738,0
34375,1
104945,0
60748,3
84628,1
55996,1
118742,1
97798,0
67709,1
7298,1
83494,1
67716,0
71075,1
40958,0
108887,0
122778,0
102013,0
20383,0
77578,0
123183,1
118510,0
17583,0
39087,0
13786,1
121152,3
9450,1
65173,0
121724,1
97560,0
51753,1
64017,1
16762,0
71627,3
10326,0
99845,0
106823,0
105099,1
96262,1
74030,1
79845,3
98346,0
33831,1
78931,0
107401,0
62201,1
96089,1
33091,1
107858,0
29761,3
51156,0
65734,3
83468,3
70995,1
72612,0
82274,0
12634,0
1705,0
65273,0
22468,1
116388,0
78905,0
121041,3
25873,0
88909,0
87091,0
44128,1
84888,1
116284,0
92855,0
46958,1
27226,1
105924,1
15253,1
48990,0
48085,3
121741,1
65565,0
18594,0
62023,1
1318,3
33098,1
58588,1
102869,1
77968,1
65638,3
43472,1
66174,0
87819,1
30923,0
117145,1
70317,0
65803,0
61858,1
1615,0
94397,0
22221,0
108255,3
107829,0
81315,3
8467,1
77838,1
2217,0
94197,1
66773,0
119490,1
74944,3
24427,1
29783,1
20226,0
70888,1
46116,1
8085,0
18584,1
42964,1
113323,1
9052,0
65798,0
23553,3
88463,0
29537,0
811,0
57372,0
105757,0
59302,0
60198,0
101719,0
35824,1
61600,0
60230,0
44133,0
22790,1
12012,0
91283,0
30243,3
6249,0
95364,1
99604,1
106896,0
86676,0
106541,0
122173,1
1734,1
99236,1
14544,0
32609,0
33121,3
125361,1
8725,1
115109,0
118404,1
106362,0
114649,1
2538,0
123222,0
18299,3
81154,3
114125,0
101815,0
98713,1
23061,1
105559,0
79080,0
120840,0
76462,1
82968,0
79919,1
66122,3
93056,0
16678,0
116910,0
14432,1
78556,1
43710,0
98350,0
89759,1
90123,0
111382,0
49694,0
115243,1
35369,0
38809,0
31445,0
79564,1
4641,1
22864,0
35771,1
62214,0
101613,0
23924,0
16286,3
98507,0
96824,0
92454,1
16224,0
117609,0
61479,0
102259,1
72268,3
22592,0
81819,1
55696,1
119484,0
109137,1
101087,0
35950,0
122501,0
61482,0
4174,0
35997,3
32783,0
86839,1
123425,1
13851,0
55890,0
53894,0
55937,1
109526,0
4954,1
110739,3
5260,1
56929,0
104695,1
122080,1
118177,0
118557,1
58109,3
34201,0
16747,3
71850,0
11554,0
63235,0
107668,0
37622,0
71802,0
87083,0
10493,0
57871,0
48195,0
96388,0
30800,0
41259,3
114303,0
83904,1
60087,0
7109,1
46043,0
91419,1
99580,0
32761,0
9033,0
88078,1
27599,2
82485,1
49499,3
69483,0
102575,4
73547,0
42431,1
